sales,resale,type,price,engine_s,horsepow,wheelbas,width,length,curb_wgt,fuel_cap,mpg,lnsales,partition,cluster
16.919,16.360,0.000,21.5,1.800,140.000,101.200,67.300,172.400,2.639,13.200,28.000,2.828,0.0,0
20.397,22.255,0.000,23.99,1.800,150.000,102.600,68.200,178.000,2.998,16.400,27.000,3.015,0.0,0
145.519,9.250,0.000,13.26,2.200,115.000,104.100,67.900,180.900,2.676,14.300,27.000,4.980,0.0,0
135.126,11.225,0.000,16.54,3.100,170.000,107.000,69.400,190.400,3.051,15.000,25.000,4.906,0.0,0
32.299,9.125,0.000,13.96,1.800,120.000,97.100,66.700,174.300,2.398,13.200,33.000,3.475,0.0,0
21.855,5.160,0.000,9.24,1.000,55.000,93.100,62.600,149.400,1.895,10.300,45.000,3.084,0.0,0
7.854,12.360,0.000,19.84,2.500,163.000,103.700,69.700,190.900,2.967,15.900,24.000,2.061,0.0,0
32.306,12.640,0.000,16.48,2.000,132.000,108.000,71.000,186.000,2.911,16.000,27.000,3.475,0.0,0
76.034,7.750,0.000,12.64,2.000,132.000,105.000,74.400,174.400,2.567,12.500,29.000,4.331,0.0,0
4.734,12.545,0.000,19.05,2.500,163.000,103.700,69.100,190.200,2.879,15.900,24.000,1.555,0.0,0
71.186,10.185,0.000,20.23,2.500,168.000,108.000,71.000,186.000,3.058,16.000,24.000,4.265,0.0,0
70.227,7.425,0.000,12.07,2.000,110.000,98.400,67.000,174.700,2.468,12.700,30.000,4.252,0.0,0
35.068,8.835,0.000,17.04,2.500,170.000,106.500,69.100,184.600,2.769,15.000,25.000,3.557,0.0,0
199.685,9.850,0.000,12.88,1.600,106.000,103.200,67.100,175.100,2.339,11.900,32.000,5.297,0.0,0
230.902,13.210,0.000,15.35,2.300,135.000,106.900,70.300,188.800,2.932,17.100,27.000,5.442,0.0,0
73.203,17.710,1.000,20.55,2.000,146.000,103.200,68.900,177.600,3.219,15.300,24.000,4.293,0.0,0
41.184,5.860,0.000,9.7,1.500,92.000,96.100,65.700,166.700,2.240,11.900,31.000,3.718,0.0,0
66.692,7.825,0.000,11.8,2.000,140.000,100.400,66.900,174.000,2.626,14.500,27.000,4.200,0.0,0
29.450,8.910,0.000,15.0,2.400,148.000,106.300,71.600,185.400,3.072,17.200,25.000,3.383,0.0,0
55.557,13.475,1.000,14.46,2.500,120.000,93.400,66.700,152.000,3.045,19.000,17.000,4.017,0.0,0
26.232,8.325,0.000,13.99,1.800,113.000,98.400,66.500,173.600,2.250,13.200,30.000,3.267,0.0,0
42.541,10.395,0.000,19.05,2.400,154.000,100.800,68.900,175.400,2.910,15.900,24.000,3.750,0.0,0
55.616,10.595,0.000,17.36,2.400,145.000,103.700,68.500,187.800,2.945,16.300,25.000,4.018,0.0,0
14.351,8.800,0.000,16.24,2.000,125.000,106.500,69.100,184.800,2.769,15.000,28.000,2.664,0.0,0
26.529,13.890,0.000,16.54,2.000,125.000,106.400,69.600,185.000,2.892,16.000,30.000,3.278,0.0,0
18.392,26.050,0.000,31.75,2.300,185.000,105.900,67.700,177.400,3.250,16.400,26.000,2.912,0.0,0
42.643,8.450,0.000,13.5,1.800,126.000,99.800,67.300,177.500,2.593,13.200,30.000,3.753,0.0,0
88.094,11.295,0.000,20.39,2.400,155.000,103.100,69.100,183.500,3.012,15.900,25.000,4.478,0.0,0
32.734,7.750,0.000,12.64,2.000,132.000,105.000,74.400,174.400,2.559,12.500,29.000,3.488,0.0,0
5.240,9.800,0.000,16.08,2.000,132.000,108.000,71.000,186.300,2.942,16.000,27.000,1.656,0.0,0
51.645,13.790,0.000,21.61,2.400,150.000,104.100,68.400,181.900,2.906,15.000,27.000,3.944,0.0,0
131.097,10.290,0.000,19.72,3.400,175.000,107.000,70.400,186.300,3.091,15.200,25.000,4.876,0.0,0
80.620,9.200,0.000,10.68,1.900,100.000,102.400,66.400,176.900,2.332,12.100,33.000,4.390,0.0,0
24.546,10.590,0.000,12.54,1.900,100.000,102.400,66.400,180.000,2.367,12.100,33.000,3.201,0.0,0
5.223,10.790,0.000,14.29,1.900,124.000,102.400,66.400,176.900,2.452,12.100,31.000,1.653,0.0,0
142.535,10.025,0.000,13.11,1.800,120.000,97.000,66.700,174.000,2.420,13.200,33.000,4.960,0.0,0
247.994,13.245,0.000,17.52,2.200,133.000,105.200,70.100,188.500,2.998,18.500,27.000,5.513,0.0,0
33.269,15.445,0.000,16.88,1.800,140.000,102.400,68.300,170.500,2.425,14.500,31.000,3.505,0.0,0
84.087,9.575,1.000,11.53,2.400,142.000,103.300,66.500,178.700,2.580,15.100,23.000,4.432,0.0,0
25.106,13.325,1.000,16.89,2.000,127.000,94.900,66.700,163.800,2.668,15.300,27.000,3.223,0.0,0
68.411,19.425,1.000,22.29,2.700,150.000,105.300,66.500,183.300,3.440,18.500,23.000,4.226,0.0,0
9.761,11.425,0.000,14.9,2.000,115.000,98.900,68.300,163.300,2.767,14.500,26.000,2.278,0.0,0
83.721,13.240,0.000,16.7,2.000,115.000,98.900,68.300,172.300,2.853,14.500,26.000,4.427,0.0,0
51.102,16.725,0.000,21.2,1.800,150.000,106.400,68.500,184.100,3.043,16.400,27.000,3.934,0.0,0
9.569,16.575,0.000,19.99,2.000,115.000,97.400,66.700,160.400,3.079,13.700,26.000,2.259,0.0,0
5.596,13.760,0.000,17.5,2.000,115.000,98.900,68.300,163.300,2.762,14.600,26.000,1.722,0.0,0
